review_item_id,source_category,entry_ids_capped,company_ids_capped,source,source_id,statement_preview,why_included,prior_manifest_status,current_status,surfacing_risk_company_analysis,surfacing_risk_chat_memory_context,surfacing_risk_company_dump,surfacing_risk_memory_workbench,surfacing_risk_source_drawer_context,recommended_operator_action,confidence,mutation_allowed,artifact_evidence,notes
source_fanout_threshold_cluster_001,source_fanout_threshold_cluster,2362;2363;2361;2359;2360,CBA;MIN;MP1;XRO;XRO,news:newspaper4k,news:art_c0195feddb42ee1a1f11268d,Commonwealth Bank (ASX:CBA) extending its rebound from Wednesday’s sell-off,Only active source-fanout threshold cluster in the live read-only inventory: active rows >= 5 and distinct company IDs >= 3.,not_applicable,active_cluster_from_artifact,confirmed_if_active_ticker_row_survives_filters,confirmed_if_query_plan_includes_company_memory,confirmed_if_active_ticker_row_exists,confirmed_for_read_surface,context_label_if_used,review_source,medium,false,active_source_fanout_clusters.csv;active_contamination_summary.json,Inventory category was ambiguous; source article context is needed before preserve or expiry decisions.
known_historical_source_row_0283,known_historical_source_row,283,A2M,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,A2 MILK's share price dropped 10% due to a product recall,Active row appears in deduped known historical source/statement checks from the live read-only inventory.,manual_review_manifest_active_remaining,active,confirmed_if_active_ticker_row_survives_filters,confirmed_if_query_plan_includes_company_memory,confirmed_if_active_ticker_row_exists,confirmed_for_read_surface,context_label_if_used,likely_legitimate,medium,false,source_id_contains:youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows;statement_contains:A2 MILK;statement_contains:share price dropped,"Statement preview appears tied to the scoped company, but source spans are still absent from prior artifacts."
known_historical_source_row_0310,known_historical_source_row,310,A2M,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,A2 MILK's share price has dropped from almost $10 back to $6.59 in a few months,Active row appears in deduped known historical source/statement checks from the live read-only inventory.,manual_review_manifest_active_remaining,active,confirmed_if_active_ticker_row_survives_filters,confirmed_if_query_plan_includes_company_memory,confirmed_if_active_ticker_row_exists,confirmed_for_read_surface,context_label_if_used,likely_legitimate,medium,false,source_id_contains:youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows;statement_contains:A2 MILK,"Statement preview appears tied to the scoped company, but source spans are still absent from prior artifacts."
known_historical_source_row_0717,known_historical_source_row,717,NAB,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,DATA_MISSING: statement preview not present in artifact cap,Active row appears in deduped known historical source/statement checks from the live read-only inventory.,not_available_in_artifact,active,confirmed_if_active_ticker_row_survives_filters,confirmed_if_query_plan_includes_company_memory,confirmed_if_active_ticker_row_exists,confirmed_for_read_surface,context_label_if_used,insufficient_evidence,low,false,source_id_contains:youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows,Artifact identifies the row as active under a known historical source but does not include its statement preview.
known_historical_source_row_1129,known_historical_source_row,1129,A2M,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,Potential overreaction by the market to the recall announcement for A2 MILK,Active row appears in deduped known historical source/statement checks from the live read-only inventory.,manual_review_manifest_active_remaining,active,confirmed_if_active_ticker_row_survives_filters,confirmed_if_query_plan_includes_company_memory,confirmed_if_active_ticker_row_exists,confirmed_for_read_surface,context_label_if_used,likely_legitimate,medium,false,source_id_contains:youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows;statement_contains:A2 MILK,"Statement preview appears tied to the scoped company, but source spans are still absent from prior artifacts."
known_historical_source_row_1273,known_historical_source_row,1273,EZZ,news:newspaper4k,news:art_e4faef3c4644fe5bb3b66e32,EZZ enters the wellness market with its MeTime range,Active row appears in deduped known historical source/statement checks from the live read-only inventory.,not_available_in_artifact,active,confirmed_if_active_ticker_row_survives_filters,confirmed_if_query_plan_includes_company_memory,confirmed_if_active_ticker_row_exists,confirmed_for_read_surface,context_label_if_used,likely_legitimate,medium,false,source_id_contains:news:art_e4faef3c4644fe5bb3b66e32,"Statement preview appears tied to the scoped company, but source spans are still absent from prior artifacts."
known_historical_source_row_1301,known_historical_source_row,1301,CSL,news:newspaper4k,news:art_e4faef3c4644fe5bb3b66e32,CSL faces renewed scrutiny over valuation gaps and growth expectations,Active row appears in deduped known historical source/statement checks from the live read-only inventory.,not_available_in_artifact,active,confirmed_if_active_ticker_row_survives_filters,confirmed_if_query_plan_includes_company_memory,confirmed_if_active_ticker_row_exists,confirmed_for_read_surface,context_label_if_used,likely_legitimate,medium,false,source_id_contains:news:art_e4faef3c4644fe5bb3b66e32,"Statement preview appears tied to the scoped company, but source spans are still absent from prior artifacts."
known_historical_source_row_1310,known_historical_source_row,1310,RESMED,news:newspaper4k,news:art_e4faef3c4644fe5bb3b66e32,RESMED delivers strong quarterly growth,Active row appears in deduped known historical source/statement checks from the live read-only inventory.,not_available_in_artifact,active,confirmed_if_active_ticker_row_survives_filters,confirmed_if_query_plan_includes_company_memory,confirmed_if_active_ticker_row_exists,confirmed_for_read_surface,context_label_if_used,likely_legitimate,medium,false,source_id_contains:news:art_e4faef3c4644fe5bb3b66e32,"Statement preview appears tied to the scoped company, but source spans are still absent from prior artifacts."
known_historical_source_row_1341,known_historical_source_row,1341,CSL,news:newspaper4k,news:art_e4faef3c4644fe5bb3b66e32,CSL's renewed scrutiny over valuation gaps and growth expectations,Active row appears in deduped known historical source/statement checks from the live read-only inventory.,not_available_in_artifact,active,confirmed_if_active_ticker_row_survives_filters,confirmed_if_query_plan_includes_company_memory,confirmed_if_active_ticker_row_exists,confirmed_for_read_surface,context_label_if_used,likely_legitimate,medium,false,source_id_contains:news:art_e4faef3c4644fe5bb3b66e32,"Statement preview appears tied to the scoped company, but source spans are still absent from prior artifacts."
known_historical_source_row_1493,known_historical_source_row,1493,A2M,news:newspaper4k,news:art_aa13edd261034dba97055d8a,A2 Milk has recalled three batches of its USA label infant formula due to the presence of cereulide toxin,Active row appears in deduped known historical source/statement checks from the live read-only inventory.,not_available_in_artifact,active,confirmed_if_active_ticker_row_survives_filters,confirmed_if_query_plan_includes_company_memory,confirmed_if_active_ticker_row_exists,confirmed_for_read_surface,context_label_if_used,likely_legitimate,medium,false,statement_contains:A2 MILK,"Statement preview appears tied to the scoped company, but source spans are still absent from prior artifacts."
