entity,active_before,expired_before,active_after,expired_after,active_delta,expired_delta
4DMEDICAL,20,0,14,6,-6,6
A2 MILK,44,0,38,6,-6,6
A2M,57,0,51,6,-6,6
ACC,8,0,8,0,0,0
ACCENT GROUP,44,0,38,6,-6,6
AROVELLA,20,0,15,5,-5,5
ASX,58,0,52,6,-6,6
ATLASSIAN,25,0,24,1,-1,1
AUA,13,0,13,0,0,0
AUZ,8,0,8,0,0,0
AXEN GROUP,25,0,20,5,-5,5
BGA,7,0,7,0,0,0
BHP,58,1,52,7,-6,6
BRAIN CHIP,25,0,20,5,-5,5
C79,44,0,38,6,-6,6
CLAR,27,0,24,3,-3,3
CLARITY,25,0,20,5,-5,5
CLT,26,0,24,2,-2,2
COH,68,0,58,10,-10,10
CSL,34,0,29,5,-5,5
CVE,7,0,7,0,0,0
EDV,6,0,6,0,0,0
EGH,7,0,7,0,0,0
END,26,0,24,2,-2,2
ENDEAVOR GROUP,25,0,20,5,-5,5
ENDV,34,0,31,3,-3,3
ENP,6,0,6,0,0,0
EZZ,20,0,14,6,-6,6
GCM,26,0,24,2,-2,2
GCM CORPORATION,25,0,20,5,-5,5
GCMC,27,0,24,3,-3,3
GOLD,4,0,4,0,0,0
IAG,11,0,11,0,0,0
IMPEDIMED,24,0,20,4,-4,4
IMRO,25,0,20,5,-5,5
INDE,44,0,38,6,-6,6
KEY,26,0,24,2,-2,2
KEY PETROLEUM,25,0,20,5,-5,5
KEYP,27,0,24,3,-3,3
LAR,5,0,5,0,0,0
LGM,6,0,6,0,0,0
LION,27,0,24,3,-3,3
LION TOWN,25,0,20,5,-5,5
LIVN,27,0,24,3,-3,3
LON,26,0,24,2,-2,2
LTR PHARMA,20,0,14,6,-6,6
MAR,26,0,24,2,-2,2
MARINO,27,0,24,3,-3,3
MARINO AND CO,25,0,20,5,-5,5
METRICS CREDIT HOLDINGS,8,0,8,0,0,0
NAB,50,0,45,5,-5,5
NATIONAL PENSION SERVICE OF KOREA (NPS),8,0,8,0,0,0
NAVIG,3,0,3,0,0,0
NHF,11,0,11,0,0,0
PARADIGM BIOPHARMACEUTICALS,20,0,13,7,-7,7
PENINSULA,25,0,20,5,-5,5
PET,26,0,24,2,-2,2
PETT,44,0,38,6,-6,6
PETTIMED,25,0,20,5,-5,5
PINNACLE INVESTMENT MANAGEMENT,8,0,8,0,0,0
QBE,11,0,11,0,0,0
RESMED,20,0,13,7,-7,7
RETAIL,4,0,4,0,0,0
S&P 500,14,0,14,0,0,0
SKT,37,0,34,3,-3,3
SN,27,0,24,3,-3,3
SNW,26,0,24,2,-2,2
STK,26,0,24,2,-2,2
STRICKLAND METALS,25,0,20,5,-5,5
SUN,11,0,11,0,0,0
SXC,8,0,8,0,0,0
TMX,7,0,7,0,0,0
TOWNSEND HOLDINGS,8,0,8,0,0,0
TSX:L,6,0,6,0,0,0
TXT,44,0,38,6,-6,6
UGL,4,0,4,0,0,0
VCE,37,0,34,3,-3,3
VERITUS,25,0,20,5,-5,5
WBC,41,0,38,3,-3,3
WES,37,0,34,3,-3,3
WIN,37,0,34,3,-3,3
WIN MEDALS,25,0,20,5,-5,5
XTX,44,0,38,6,-6,6
