row_id,company_id,memory_type,statement,source,source_id,status_before,status_after,first_seen_at,last_seen_at,closed_at,cleanup_timestamp,approval_id
15,ASX,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:23:27+00:00,2026-05-04T08:23:27+00:00,,2026-05-05T07:52:15+00:00,approved_by_user_20260505_first_batch_249
16,TXT,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:23:27+00:00,2026-05-04T08:23:27+00:00,,2026-05-05T07:52:15+00:00,approved_by_user_20260505_first_batch_249
17,XTX,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:23:27+00:00,2026-05-04T08:23:27+00:00,,2026-05-05T07:52:15+00:00,approved_by_user_20260505_first_batch_249
18,A2 MILK,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:23:27+00:00,2026-05-04T08:23:27+00:00,,2026-05-05T07:52:15+00:00,approved_by_user_20260505_first_batch_249
19,ENDEAVOR GROUP,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:23:27+00:00,2026-05-04T08:23:27+00:00,,2026-05-05T07:52:15+00:00,approved_by_user_20260505_first_batch_249
21,NAB,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:23:27+00:00,2026-05-04T08:23:27+00:00,,2026-05-05T07:52:15+00:00,approved_by_user_20260505_first_batch_249
22,BHP,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:23:27+00:00,2026-05-04T08:23:27+00:00,,2026-05-05T07:52:15+00:00,approved_by_user_20260505_first_batch_249
23,KEY PETROLEUM,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:23:27+00:00,2026-05-04T08:23:27+00:00,,2026-05-05T07:52:15+00:00,approved_by_user_20260505_first_batch_249
24,GCM CORPORATION,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:23:27+00:00,2026-05-04T08:23:27+00:00,,2026-05-05T07:52:15+00:00,approved_by_user_20260505_first_batch_249
25,MARINO AND CO,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:23:27+00:00,2026-05-04T08:23:27+00:00,,2026-05-05T07:52:15+00:00,approved_by_user_20260505_first_batch_249
26,CLARITY,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:23:27+00:00,2026-05-04T08:23:27+00:00,,2026-05-05T07:52:15+00:00,approved_by_user_20260505_first_batch_249
27,WIN MEDALS,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:23:27+00:00,2026-05-04T08:23:27+00:00,,2026-05-05T07:52:15+00:00,approved_by_user_20260505_first_batch_249
28,AXEN GROUP,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:23:27+00:00,2026-05-04T08:23:27+00:00,,2026-05-05T07:52:15+00:00,approved_by_user_20260505_first_batch_249
29,STRICKLAND METALS,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:23:27+00:00,2026-05-04T08:23:27+00:00,,2026-05-05T07:52:15+00:00,approved_by_user_20260505_first_batch_249
30,LION TOWN,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:23:27+00:00,2026-05-04T08:23:27+00:00,,2026-05-05T07:52:15+00:00,approved_by_user_20260505_first_batch_249
31,IMRO,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:23:27+00:00,2026-05-04T08:23:27+00:00,,2026-05-05T07:52:15+00:00,approved_by_user_20260505_first_batch_249
32,PENINSULA,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:23:27+00:00,2026-05-04T08:23:27+00:00,,2026-05-05T07:52:15+00:00,approved_by_user_20260505_first_batch_249
33,BRAIN CHIP,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:23:27+00:00,2026-05-04T08:23:27+00:00,,2026-05-05T07:52:15+00:00,approved_by_user_20260505_first_batch_249
34,VERITUS,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:23:28+00:00,2026-05-04T08:23:28+00:00,,2026-05-05T07:52:15+00:00,approved_by_user_20260505_first_batch_249
35,PETTIMED,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:23:28+00:00,2026-05-04T08:23:28+00:00,,2026-05-05T07:52:15+00:00,approved_by_user_20260505_first_batch_249
36,IMPEDIMED,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:23:28+00:00,2026-05-04T08:23:28+00:00,,2026-05-05T07:52:15+00:00,approved_by_user_20260505_first_batch_249
37,INDE,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:23:28+00:00,2026-05-04T08:23:28+00:00,,2026-05-05T07:52:15+00:00,approved_by_user_20260505_first_batch_249
38,PETT,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:23:28+00:00,2026-05-04T08:23:28+00:00,,2026-05-05T07:52:15+00:00,approved_by_user_20260505_first_batch_249
39,C79,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:23:28+00:00,2026-05-04T08:23:28+00:00,,2026-05-05T07:52:15+00:00,approved_by_user_20260505_first_batch_249
40,A2M,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:23:28+00:00,2026-05-04T08:23:28+00:00,,2026-05-05T07:52:15+00:00,approved_by_user_20260505_first_batch_249
41,ACCENT GROUP,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:23:28+00:00,2026-05-04T08:23:28+00:00,,2026-05-05T07:52:15+00:00,approved_by_user_20260505_first_batch_249
