row_id,cluster_id,prior_cluster_id,company_id,memory_type,statement,status,confidence,materiality,source,source_id,first_seen_at,last_seen_at,proposed_action,action_basis,cleanup_safe_without_approval
262,active_fanout_0002,fanout_0002,ENDEAVOR GROUP,observed_fact,A2 MILK's share price dropped 10% due to a product recall,active,0.82,0.71,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:23:58+00:00,2026-05-04T08:23:58+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no
266,active_fanout_0002,fanout_0002,KEY PETROLEUM,observed_fact,A2 MILK's share price dropped 10% due to a product recall,active,0.82,0.71,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:23:59+00:00,2026-05-04T08:23:59+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no
267,active_fanout_0002,fanout_0002,GCM CORPORATION,observed_fact,A2 MILK's share price dropped 10% due to a product recall,active,0.82,0.71,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:23:59+00:00,2026-05-04T08:23:59+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no
268,active_fanout_0002,fanout_0002,MARINO AND CO,observed_fact,A2 MILK's share price dropped 10% due to a product recall,active,0.82,0.71,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:23:59+00:00,2026-05-04T08:23:59+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no
270,active_fanout_0002,fanout_0002,WIN MEDALS,observed_fact,A2 MILK's share price dropped 10% due to a product recall,active,0.82,0.71,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:23:59+00:00,2026-05-04T08:23:59+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no
271,active_fanout_0002,fanout_0002,AXEN GROUP,observed_fact,A2 MILK's share price dropped 10% due to a product recall,active,0.82,0.71,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:23:59+00:00,2026-05-04T08:23:59+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no
272,active_fanout_0002,fanout_0002,STRICKLAND METALS,observed_fact,A2 MILK's share price dropped 10% due to a product recall,active,0.82,0.71,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:23:59+00:00,2026-05-04T08:23:59+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no
273,active_fanout_0002,fanout_0002,LION TOWN,observed_fact,A2 MILK's share price dropped 10% due to a product recall,active,0.82,0.71,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:24:00+00:00,2026-05-04T08:24:00+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no
276,active_fanout_0002,fanout_0002,BRAIN CHIP,observed_fact,A2 MILK's share price dropped 10% due to a product recall,active,0.82,0.71,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:24:01+00:00,2026-05-04T08:24:01+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no
284,active_fanout_0002,fanout_0002,ACCENT GROUP,observed_fact,A2 MILK's share price dropped 10% due to a product recall,active,0.82,0.71,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:24:02+00:00,2026-05-04T08:24:02+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no
289,active_fanout_0003,fanout_0003,ENDEAVOR GROUP,observed_fact,A2 MILK's share price has dropped from almost $10 back to $6.59 in a few months,active,0.82,0.71,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:24:02+00:00,2026-05-04T08:24:02+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no
293,active_fanout_0003,fanout_0003,KEY PETROLEUM,observed_fact,A2 MILK's share price has dropped from almost $10 back to $6.59 in a few months,active,0.82,0.71,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:24:03+00:00,2026-05-04T08:24:03+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no
294,active_fanout_0003,fanout_0003,GCM CORPORATION,observed_fact,A2 MILK's share price has dropped from almost $10 back to $6.59 in a few months,active,0.82,0.71,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:24:03+00:00,2026-05-04T08:24:03+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no
295,active_fanout_0003,fanout_0003,MARINO AND CO,observed_fact,A2 MILK's share price has dropped from almost $10 back to $6.59 in a few months,active,0.82,0.71,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:24:04+00:00,2026-05-04T08:24:04+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no
297,active_fanout_0003,fanout_0003,WIN MEDALS,observed_fact,A2 MILK's share price has dropped from almost $10 back to $6.59 in a few months,active,0.82,0.71,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:24:04+00:00,2026-05-04T08:24:04+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no
298,active_fanout_0003,fanout_0003,AXEN GROUP,observed_fact,A2 MILK's share price has dropped from almost $10 back to $6.59 in a few months,active,0.82,0.71,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:24:04+00:00,2026-05-04T08:24:04+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no
299,active_fanout_0003,fanout_0003,STRICKLAND METALS,observed_fact,A2 MILK's share price has dropped from almost $10 back to $6.59 in a few months,active,0.82,0.71,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:24:04+00:00,2026-05-04T08:24:04+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no
